"36510","Norman Maclean"
"36511","North Carolina"
"37842","John O'Keeffe"
"37843","Mary Ann Webster Loughborough"
"37844","Nancy Casteel Vogel"
"37845","C. M. (Clara Miller) Burd"
"36515","John Bloundelle-Burton"
"37847","Oliver Herbrand Gordon Leigh"
"36516","Donald A. Wollheim"
"25848","Susan Beatrice Pearse"
"25847","M. C. Bell"
"25849","Esther Bakewell"
"25840","Henry F. (Henry Flagg) French"
"25841","James Hudson Taylor"
"25844","Julius Nitsche"
"25843","Murray F. Yaco"
"25846","F. (Freeman) Delamotte"
"25845","F. Bruckmann"
"37837","Alice Gerstenberg"
"36506","Charles Allan Madison"
"37838","Samuel H. Fletcher"
"36508","Lucius J. Boyd"
"37839","F. G. (Felix Gregory) De Fontaine"
"37830","Blanche Willis Howard"
"37831","Francis Grierson"
"36500","Otto Jahn"
"36501","J. Harris (John Harris) Knowles"
"37832","Herman J. (Herman Joseph) Heuser"
"36502","E. A. (Ernest Alexander) Cruikshank"
"37833","John Cameron"
"36503","James Meade Adams"
"37834","A. de V. (Adelaide de Vendel) Chaudron"
"36504","Joseph W. Grant"
"37835","Edgar Thurston"
"36505","Joseph Hamblen Sears"
"37836","John Humphrey Noyes"
"25858","Valerian Viliamovich Karrik"
"25851","E. Phillips"
"25850","A. Phillips"
"25853","G. M. George"
"25852","G. M. C. Fry"
"25855","Richard Hunter"
"25854","Ruth Cobb"
"25857","Ellen Elizabeth Houghton"
"25856","Jean C. Archer"
"37827","A. H. (Augustus Henry) Keane"
"37828","A. Hingston (Alison Hingston) Quiggin"
"37829","María Amparo Ruiz de Burton"
"37820","George W. (George Washington) Holley"
"37821","Mary Maxwell"
"37822","M. N. (Miles Newell) Olmsted"
"37823","Randolph S. (Randolph Sinks) Foster"
"37824","Walter Jack Duncan"
"37825","Elizabeth Palmer Peabody"
"25826","Leonard Pearson"
"25825","United States. Bureau of Animal Industry"
"25828","Charles B. Michener"
"25827","Rush Shippen Huidekoper"
"25829","W. H. (William Heyser) Harbaugh"
"25820","Elmer W. (Elmer Warren) Cavins"
"25822","Mrs. Warner-Sleigh"
